Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
235,120,FV,95,6037,Pave,Grvl,IR2,Lvl,AllPub,Corner,Mod,Edwardsfurt,Norm,Artery,Twnhs,1.5Fin,7,5,1977,1909,Flat,Metal,HdBoard,HdBoard,Stone,422,TA,Gd,CBlock,No,TA,Mn,LwQ,395,BLQ,1259,477,1565,Wall,Fa,Y,FuseP,1487,1402,157,1774,0,1,2,1,2,1,Fa,10,Maj2,0,TA,Basment,1952,RFn,2,198,Gd,Ex,N,168,406,278,12,56,435,TA,MnPrv,nan,1776,10,2010,COD,Partial
236,30,FV,69,6332,Pave,Grvl,IR3,Low,AllPub,CulDSac,Sev,Jasonside,Norm,Norm,TwnhsE,2Story,6,7,1929,1944,Flat,Tar&Grv,HdBoard,BrkFace,Stone,420,Ex,Ex,CBlock,No,Fa,No,Rec,749,Rec,388,1404,2138,GasA,TA,Y,SBrkr,1410,251,47,2454,0,1,2,1,1,1,Fa,10,Min1,0,No,CarPort,2010,Fin,0,232,Ex,TA,P,309,247,314,55,44,22,nan,nan,Othr,4592,4,2012,WD,Normal
237,60,RM,23,5598,Pave,Grvl,IR3,HLS,AllPub,Inside,Mod,Hannahchester,Feedr,Feedr,1Fam,1.5Fin,8,9,1947,1998,Gable,CompShg,VinylSd,BrkFace,Stone,432,Gd,TA,CBlock,TA,Gd,No,BLQ,116,GLQ,121,1338,1132,Grav,Ex,N,FuseP,759,1313,39,1555,0,1,2,0,1,1,Gd,8,Sev,2,Ex,No,1938,Fin,2,95,Gd,Ex,Y,388,369,334,0,87,130,Gd,MnWw,Shed,229,12,2013,WD,Abnorml
238,160,RM,65,19068,Pave,Pave,Reg,HLS,AllPub,Corner,Mod,New Natalie,Feedr,Feedr,Twnhs,1Story,6,6,1959,1980,Hip,Tar&Grv,CemntBd,HdBoard,Stone,214,Gd,Gd,BrkTil,Gd,Ex,Av,GLQ,510,Unf,410,305,276,Grav,TA,Y,FuseF,1779,50,166,1922,2,1,1,1,3,1,Fa,9,Sal,0,Gd,Attchd,1996,Unf,0,727,No,Gd,Y,94,482,499,45,117,103,nan,nan,nan,4632,10,2019,New,Partial
239,40,FV,86,6075,Grvl,Pave,IR2,Lvl,AllPub,Inside,Mod,Jessicaport,PosN,Artery,Duplex,SLvl,6,1,1996,1920,Gable,Tar&Grv,MetalSd,MetalSd,None,205,Fa,Fa,CBlock,No,Fa,No,Rec,1417,BLQ,601,1192,1642,Wall,Ex,Y,FuseA,1341,834,128,948,0,0,2,1,2,1,Fa,6,Sev,1,TA,Basment,2002,Fin,3,622,Ex,No,P,158,141,372,75,62,146,Ex,GdPrv,Gar2,2354,1,2009,ConLw,AdjLand
240,120,FV,68,12782,Pave,Grvl,IR1,Low,AllPub,CulDSac,Sev,Hayeston,PosN,PosN,1Fam,SLvl,7,2,1996,1909,Gable,Metal,HdBoard,VinylSd,BrkFace,38,Ex,Ex,CBlock,Fa,Gd,Mn,GLQ,1254,Rec,366,1319,2223,Grav,Fa,N,FuseF,1126,1295,40,3456,0,0,2,1,2,1,Fa,6,Maj1,2,Gd,Detchd,1973,Fin,0,755,Ex,No,P,122,366,470,140,60,74,Ex,MnWw,Gar2,2291,4,2011,WD,Alloca
241,60,FV,27,14706,Pave,Grvl,IR1,HLS,AllPub,CulDSac,Gtl,Jordanton,Norm,Artery,2FmCon,2Story,5,5,1962,1937,Mansard,Tar&Grv,MetalSd,HdBoard,CBlock,99,TA,Ex,Slab,Fa,Gd,Mn,GLQ,186,LwQ,922,1181,2202,GasA,Ex,N,FuseP,1146,1258,7,2710,2,1,2,0,3,1,Ex,6,Sal,1,Gd,BuiltIn,1981,Unf,3,888,TA,Fa,Y,255,425,13,5,50,471,Ex,nan,Gar2,1190,10,2016,WD,Normal
242,20,RH,74,14258,Pave,Grvl,Reg,HLS,AllPub,CulDSac,Sev,Port Rebekah,Feedr,PosN,TwnhsE,1Story,7,4,2016,1904,Gable,CompShg,BrkFace,MetalSd,CBlock,294,Ex,Gd,BrkTil,Fa,No,Gd,GLQ,1385,No,932,415,1318,GasA,Fa,N,FuseF,1574,464,168,3095,1,1,1,1,1,1,Gd,4,Sal,1,Gd,Basment,1909,RFn,0,349,TA,Gd,Y,322,32,476,198,74,473,TA,GdPrv,nan,3947,10,2013,COD,Alloca
243,60,RH,25,16422,Pave,nan,IR3,Bnk,AllPub,Inside,Gtl,Martinhaven,Artery,Artery,Duplex,1.5Fin,8,9,1926,1938,Hip,Metal,VinylSd,BrkFace,CBlock,452,Gd,TA,Slab,No,Fa,Av,GLQ,797,ALQ,299,644,2384,GasW,Gd,Y,FuseP,1119,33,131,1614,0,1,1,0,2,1,Ex,10,Sev,1,No,Detchd,2020,Fin,1,246,Fa,TA,Y,285,467,455,15,17,336,nan,GdPrv,nan,3045,9,2012,ConLw,AdjLand
244,40,RM,48,11420,Pave,Pave,IR1,Lvl,AllPub,CulDSac,Sev,Nicolebury,Artery,PosN,2FmCon,SLvl,9,1,1919,1987,Mansard,Tar&Grv,BrkFace,CemntBd,Stone,307,Fa,Fa,PConc,No,Gd,No,Unf,79,No,340,625,1568,GasW,Fa,Y,FuseP,1769,1013,72,2194,0,1,2,1,2,1,Gd,10,Maj2,0,TA,Attchd,1948,Unf,1,304,Ex,No,Y,60,191,357,0,130,351,nan,GdPrv,Shed,3061,9,2006,WD,Partial
245,160,FV,50,14320,Grvl,Pave,IR1,Low,AllPub,Inside,Sev,Lake Amberchester,PosN,Feedr,1Fam,1.5Fin,5,9,1921,2004,Hip,Tar&Grv,BrkFace,VinylSd,CBlock,422,TA,Gd,PConc,Fa,TA,Av,Rec,655,LwQ,331,731,174,GasA,Fa,N,FuseP,1134,1031,116,3385,1,1,3,0,3,1,Gd,10,Maj1,2,No,CarPort,1930,Fin,1,221,TA,TA,N,440,325,244,179,173,742,Gd,MnWw,Shed,4623,3,2007,Con,Family
246,120,RM,31,19533,Grvl,Grvl,IR1,Low,AllPub,Inside,Sev,South David,Artery,Artery,Duplex,1Story,6,4,1930,1981,Hip,Metal,BrkFace,CemntBd,BrkFace,84,TA,Gd,BrkTil,Gd,Ex,No,No,423,BLQ,970,648,2529,GasW,Fa,N,FuseA,1466,1259,68,3432,0,1,2,1,1,1,Fa,7,Mod,1,Fa,BuiltIn,1923,RFn,3,121,TA,Fa,N,462,11,12,59,142,139,TA,MnWw,Shed,1152,7,2018,New,Alloca
247,20,FV,22,7274,Grvl,Grvl,IR2,Low,AllPub,Corner,Sev,Stacyport,Feedr,PosN,2FmCon,1Story,3,6,1988,1944,Flat,Metal,CemntBd,BrkFace,BrkFace,244,Gd,Fa,CBlock,TA,Fa,Gd,ALQ,101,Unf,439,237,2741,GasA,TA,N,SBrkr,1997,859,167,2362,2,1,1,0,1,1,Ex,5,Min2,2,Ex,Basment,1979,Fin,2,132,Fa,No,N,87,336,321,61,56,190,Gd,MnWw,nan,2893,12,2014,WD,Abnorml
248,60,FV,26,6292,Grvl,nan,IR1,Lvl,AllPub,Corner,Mod,Port Donnafort,PosN,Artery,TwnhsE,1.5Fin,8,4,1926,2017,Hip,CompShg,VinylSd,HdBoard,None,332,Fa,Fa,CBlock,Ex,No,No,Rec,246,BLQ,1118,738,1388,Grav,Gd,Y,SBrkr,1356,585,16,1577,2,1,1,0,2,1,Gd,10,Typ,0,Gd,2Types,1990,RFn,3,320,Gd,TA,N,290,141,47,81,53,60,Fa,GdPrv,Shed,2125,3,2020,COD,Partial
249,20,RH,87,6301,Grvl,Grvl,Reg,HLS,AllPub,Inside,Gtl,East Loriburgh,Norm,Artery,Twnhs,1Story,3,5,2001,1999,Hip,CompShg,CemntBd,HdBoard,Stone,122,Fa,Gd,Slab,No,Ex,No,LwQ,76,GLQ,29,187,1157,GasA,Gd,Y,FuseP,1149,347,196,2177,0,1,2,1,2,1,TA,7,Min2,2,Ex,Basment,1955,Unf,0,469,TA,Ex,Y,339,181,83,108,153,634,TA,GdPrv,Othr,434,7,2020,Con,Normal
250,40,RL,97,18812,Pave,nan,IR2,Lvl,AllPub,Corner,Mod,Moralesborough,Feedr,Artery,2FmCon,2Story,5,6,1980,2014,Gable,CompShg,VinylSd,VinylSd,BrkFace,50,TA,TA,BrkTil,No,TA,Av,Rec,577,Unf,94,1476,1805,GasA,Ex,Y,FuseP,1884,959,85,2934,1,1,3,0,3,1,TA,7,Mod,0,Gd,No,1908,RFn,2,442,Gd,Fa,Y,329,240,96,5,191,51,nan,MnPrv,Othr,2103,5,2017,COD,AdjLand
251,120,FV,48,16125,Pave,Grvl,IR2,Bnk,AllPub,Inside,Mod,North Heather,Artery,Feedr,1Fam,1Story,2,3,1942,1997,Flat,CompShg,HdBoard,VinylSd,Stone,494,Gd,Ex,PConc,Ex,Ex,Av,LwQ,744,GLQ,225,1470,2175,Wall,Ex,N,SBrkr,458,1018,198,1157,0,1,0,0,4,1,TA,4,Sal,0,Gd,BuiltIn,1987,Unf,0,390,No,No,N,475,69,165,163,151,730,Gd,MnWw,Shed,3681,9,2016,WD,Alloca
252,30,FV,32,18794,Grvl,Pave,IR2,HLS,AllPub,Corner,Sev,Michaelside,Artery,Norm,Twnhs,1.5Fin,1,5,1923,1927,Gable,Tar&Grv,CemntBd,MetalSd,Stone,341,Ex,Gd,PConc,Fa,No,Gd,LwQ,1039,GLQ,168,744,641,GasW,TA,Y,SBrkr,883,1161,82,1552,0,1,3,1,4,1,Gd,10,Sal,2,Gd,2Types,1927,Fin,2,620,Gd,TA,P,197,341,10,34,11,648,Fa,GdWo,Shed,1317,9,2012,ConLw,AdjLand
253,30,RM,78,19274,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,North Stacychester,Feedr,Norm,Twnhs,1.5Fin,3,3,1944,2008,Mansard,Metal,VinylSd,CemntBd,BrkFace,435,Fa,Fa,BrkTil,Ex,Ex,Mn,BLQ,1099,GLQ,998,89,1666,GasW,Gd,Y,FuseA,1766,671,65,3845,2,1,2,1,3,1,Ex,9,Typ,2,TA,2Types,1913,Unf,1,789,Gd,Fa,N,483,307,8,154,14,141,Gd,MnPrv,Gar2,2602,4,2011,New,Normal
254,40,RL,21,10883,Grvl,Grvl,Reg,HLS,AllPub,Inside,Gtl,South Brandon,Artery,Artery,2FmCon,2Story,8,5,1963,1955,Gable,Tar&Grv,MetalSd,HdBoard,None,150,Ex,Fa,Slab,TA,Ex,No,GLQ,645,ALQ,1243,273,2302,Grav,Fa,Y,FuseF,863,392,110,2005,2,0,2,1,4,1,Ex,11,Mod,1,Fa,No,1989,Fin,1,399,TA,Ex,P,456,355,359,114,65,379,Gd,MnPrv,nan,2305,9,2008,New,Partial
255,160,RL,23,19150,Grvl,Grvl,IR1,Low,AllPub,Inside,Mod,Ericton,Feedr,Feedr,2FmCon,SLvl,2,1,1945,1958,Hip,Tar&Grv,HdBoard,BrkFace,Stone,66,Ex,Gd,PConc,Fa,Gd,Mn,BLQ,817,Unf,684,607,2794,GasA,Ex,N,FuseA,1186,1158,102,2847,1,0,2,1,4,1,Fa,4,Min2,2,Fa,BuiltIn,1942,Unf,3,881,No,Gd,N,298,329,480,59,196,453,nan,GdPrv,Gar2,333,3,2013,Con,Abnorml
256,120,RL,73,13391,Grvl,nan,IR2,Bnk,AllPub,Inside,Mod,Flynnton,PosN,PosN,Twnhs,SLvl,9,8,1970,1999,Flat,Metal,BrkFace,HdBoard,None,287,Ex,Gd,BrkTil,Gd,Fa,Gd,LwQ,918,Unf,687,1439,2413,GasW,Fa,N,FuseP,659,953,67,2086,2,1,0,1,3,1,Fa,10,Min2,1,No,Basment,1930,RFn,3,23,Gd,Gd,N,403,182,498,171,100,343,Gd,MnPrv,Shed,711,7,2019,ConLw,Family
257,160,RM,54,16625,Pave,nan,IR1,Bnk,AllPub,Inside,Sev,Dillonshire,Artery,Norm,Duplex,2Story,3,7,1908,1978,Mansard,Metal,HdBoard,VinylSd,BrkFace,130,Ex,TA,Slab,TA,TA,Mn,ALQ,1174,Rec,559,470,939,Grav,Gd,N,FuseP,626,961,121,1874,2,1,3,1,4,1,TA,9,Mod,1,TA,Attchd,1924,RFn,2,667,Gd,Fa,N,302,146,55,112,107,467,Ex,GdWo,Shed,2563,4,2019,WD,AdjLand
258,160,RM,92,7568,Pave,nan,Reg,Lvl,AllPub,Inside,Mod,Kleinmouth,Feedr,Feedr,Twnhs,2Story,1,3,1923,1902,Mansard,Metal,HdBoard,HdBoard,None,481,Gd,Fa,CBlock,No,Gd,Gd,ALQ,1238,BLQ,1315,1333,1741,GasA,Fa,Y,FuseF,770,965,191,3587,0,0,2,1,3,1,Ex,8,Maj2,2,TA,2Types,1903,RFn,1,883,TA,No,P,4,355,199,92,101,246,TA,nan,Othr,4797,8,2016,Con,Alloca
259,160,RH,27,9250,Grvl,Pave,IR2,HLS,AllPub,Inside,Gtl,Lynnshire,PosN,Norm,Twnhs,1Story,4,7,1955,1976,Flat,CompShg,BrkFace,MetalSd,None,398,TA,TA,Slab,Gd,TA,Gd,Unf,514,Rec,334,908,1765,GasW,Ex,N,FuseA,942,252,33,1275,0,0,1,1,1,1,TA,6,Typ,2,No,Attchd,1928,Fin,3,763,TA,TA,N,202,300,349,65,55,712,Fa,MnPrv,Othr,3284,4,2014,COD,Alloca
260,120,RL,45,8496,Pave,Grvl,IR3,Bnk,AllPub,Corner,Gtl,Veronicaville,Norm,Artery,2FmCon,1.5Fin,1,9,1911,1902,Gable,CompShg,CemntBd,BrkFace,CBlock,31,TA,Ex,Slab,TA,No,Mn,ALQ,1013,GLQ,185,1084,883,GasA,TA,N,FuseA,1708,1219,153,2013,1,0,2,0,3,1,Ex,9,Sev,1,Ex,BuiltIn,1944,RFn,3,429,Gd,TA,Y,206,373,290,189,194,768,Gd,GdWo,nan,365,10,2008,Con,Family
261,160,RM,45,14110,Grvl,Grvl,IR1,Lvl,AllPub,Corner,Gtl,Michaelville,Norm,Feedr,2FmCon,1Story,4,2,1957,1942,Flat,Metal,HdBoard,HdBoard,CBlock,406,Fa,TA,PConc,Ex,Gd,Gd,Rec,606,Rec,1032,134,2031,GasA,Ex,N,SBrkr,1846,1189,117,811,1,1,2,1,3,1,TA,4,Maj1,1,Ex,Basment,1902,RFn,1,223,Ex,TA,N,484,252,194,28,189,39,Fa,MnWw,Shed,3892,5,2013,New,Family
262,40,RH,90,12533,Grvl,Pave,Reg,Lvl,AllPub,Corner,Sev,Juliantown,Norm,Artery,Twnhs,SLvl,8,1,1988,1911,Hip,Metal,BrkFace,CemntBd,None,18,Fa,TA,Slab,Fa,Fa,Mn,GLQ,734,Rec,217,23,2082,GasW,Ex,Y,FuseA,1498,300,159,3940,1,1,3,0,3,1,Fa,4,Mod,0,Ex,2Types,1953,Unf,2,383,Gd,Gd,N,50,155,276,124,60,519,nan,GdPrv,nan,2430,12,2020,WD,Family
263,60,RH,52,6170,Pave,nan,IR1,Low,AllPub,CulDSac,Gtl,South Jacob,Feedr,Feedr,Duplex,1Story,6,2,1975,1970,Mansard,Tar&Grv,BrkFace,HdBoard,CBlock,280,Fa,TA,CBlock,TA,Ex,Av,No,49,LwQ,1205,528,2559,Grav,Gd,Y,FuseP,973,669,32,2214,1,0,2,1,1,1,Ex,8,Maj1,2,TA,2Types,2000,Unf,2,413,Gd,TA,N,379,19,1,115,49,647,Gd,GdWo,nan,652,3,2008,COD,Partial
264,30,FV,51,11934,Pave,Pave,IR2,HLS,AllPub,Inside,Gtl,Clarkview,Norm,PosN,TwnhsE,1.5Fin,5,1,1900,1919,Gable,Metal,VinylSd,BrkFace,CBlock,138,TA,Fa,BrkTil,No,TA,Mn,Rec,674,LwQ,233,1087,536,GasA,Fa,Y,FuseP,1984,54,24,2366,1,0,2,0,2,1,Fa,3,Maj2,2,No,Detchd,1901,Unf,2,820,Ex,TA,Y,279,181,337,137,175,95,Gd,GdWo,Shed,3772,1,2008,WD,AdjLand
265,160,FV,76,15959,Grvl,Pave,IR3,Lvl,AllPub,CulDSac,Gtl,New Lisa,PosN,Artery,Duplex,1.5Fin,6,3,2006,1960,Hip,CompShg,BrkFace,HdBoard,CBlock,356,TA,Ex,BrkTil,Fa,No,Av,ALQ,145,BLQ,55,1233,1079,Grav,Fa,N,FuseP,1067,176,132,1379,2,1,2,1,4,1,TA,4,Sal,1,Fa,BuiltIn,1903,Fin,2,621,TA,Fa,P,21,212,13,74,13,499,Gd,MnPrv,Gar2,2772,9,2013,WD,Family
266,60,RM,67,18357,Grvl,nan,IR3,Lvl,AllPub,CulDSac,Mod,Jenniferside,PosN,Artery,1Fam,SLvl,6,7,2001,1918,Flat,CompShg,HdBoard,CemntBd,None,264,TA,Gd,BrkTil,Fa,Gd,Av,No,918,Unf,987,522,564,Wall,Ex,N,FuseF,653,600,33,1761,0,0,0,0,4,1,TA,7,Min1,2,TA,No,1906,Fin,2,790,Gd,Ex,Y,115,444,357,122,179,436,nan,MnPrv,Shed,4145,3,2019,WD,Partial
267,120,RH,55,13884,Pave,Pave,IR2,Lvl,AllPub,Corner,Sev,New Carrie,Norm,Norm,TwnhsE,SLvl,7,9,1907,1949,Hip,CompShg,VinylSd,VinylSd,None,152,TA,Gd,Slab,Ex,Gd,Gd,BLQ,1298,No,418,1298,222,GasW,Fa,N,FuseP,1852,105,19,3850,0,1,3,1,4,1,Fa,4,Maj1,2,TA,Attchd,1930,Unf,2,126,Gd,TA,P,384,239,164,109,114,725,nan,GdWo,Gar2,4384,9,2019,New,Alloca
268,60,RH,40,19494,Pave,Pave,IR1,Low,AllPub,Inside,Mod,Michaelmouth,Artery,PosN,Duplex,1Story,9,5,1979,1940,Hip,Tar&Grv,MetalSd,VinylSd,CBlock,130,TA,Ex,PConc,No,TA,Mn,No,958,LwQ,777,772,2504,GasW,Ex,Y,FuseP,1818,1326,199,1964,0,0,1,1,2,1,Fa,6,Sal,1,Fa,No,1979,Unf,0,92,TA,Gd,P,418,380,257,35,24,417,TA,MnPrv,nan,1506,5,2011,New,Alloca
269,160,RL,78,5808,Pave,Pave,IR2,HLS,AllPub,Corner,Gtl,North Philip,Norm,Artery,Twnhs,2Story,4,8,1981,2004,Mansard,CompShg,MetalSd,BrkFace,Stone,80,Gd,Fa,Slab,Gd,TA,Av,Unf,830,No,1487,1388,1263,GasA,TA,N,FuseF,1714,780,133,1394,1,0,0,1,1,1,Fa,11,Maj2,0,Gd,BuiltIn,2020,Fin,1,968,Gd,Ex,P,396,359,427,122,164,571,Ex,MnWw,Gar2,3132,5,2014,COD,Alloca
270,20,FV,88,12411,Pave,nan,IR1,Bnk,AllPub,Inside,Sev,Frazierberg,PosN,Feedr,1Fam,1Story,1,9,1994,2011,Hip,CompShg,HdBoard,VinylSd,BrkFace,268,Fa,TA,Slab,TA,Fa,No,Unf,566,LwQ,491,777,1253,Wall,Fa,N,FuseA,1247,34,44,1785,1,0,3,0,4,1,Gd,8,Sal,1,TA,Attchd,2003,Unf,1,333,TA,TA,P,217,351,230,175,155,499,Fa,MnPrv,Othr,4348,12,2017,COD,Normal
271,120,FV,43,8434,Pave,nan,IR3,Lvl,AllPub,CulDSac,Sev,East Erinfurt,Feedr,Artery,Duplex,1Story,6,2,1937,2019,Gable,Metal,HdBoard,MetalSd,CBlock,455,Ex,TA,CBlock,Ex,Fa,Mn,BLQ,959,ALQ,336,42,2182,GasW,TA,N,SBrkr,1407,130,26,958,1,0,3,1,4,1,Fa,11,Maj1,1,Fa,Attchd,2014,Fin,3,238,Ex,Fa,Y,71,76,340,84,182,245,Gd,GdWo,Shed,177,6,2009,ConLw,Abnorml
272,30,RM,37,9036,Grvl,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Brandontown,Feedr,Norm,1Fam,1.5Fin,7,7,2005,1955,Hip,CompShg,BrkFace,HdBoard,CBlock,33,Ex,Ex,PConc,Fa,Gd,Gd,BLQ,634,LwQ,502,1385,1617,GasA,Ex,N,FuseA,1891,225,63,533,1,1,2,1,4,1,Fa,8,Maj1,1,Ex,CarPort,1991,RFn,1,954,Fa,Ex,Y,476,89,372,10,197,441,TA,GdPrv,Shed,1314,1,2008,New,Family
273,40,FV,77,10677,Pave,Pave,IR3,Bnk,AllPub,Corner,Mod,Schwartzburgh,Norm,Norm,2FmCon,1Story,7,9,2000,1998,Mansard,Metal,HdBoard,CemntBd,CBlock,179,Gd,Ex,CBlock,No,Gd,Av,Unf,104,No,132,1204,2890,GasA,TA,Y,FuseF,1855,533,183,2695,2,0,2,0,1,1,Gd,5,Maj1,0,Ex,CarPort,1958,Fin,2,619,No,Gd,P,282,106,426,13,90,578,Ex,nan,Shed,1474,7,2020,New,Abnorml
274,120,RH,65,16779,Pave,Pave,IR1,Low,AllPub,CulDSac,Gtl,West Sarahfort,Norm,Norm,Twnhs,SLvl,6,3,1939,1993,Mansard,Tar&Grv,HdBoard,MetalSd,BrkFace,130,TA,Gd,PConc,Gd,TA,Mn,GLQ,688,ALQ,344,1161,2902,GasW,Fa,Y,FuseF,1345,1476,83,961,0,0,1,1,1,1,Ex,3,Sal,2,Ex,2Types,1929,RFn,2,133,Gd,Fa,N,268,473,310,91,81,232,Fa,GdWo,nan,4502,10,2011,WD,Partial
275,30,FV,58,10611,Pave,nan,IR3,Low,AllPub,Corner,Gtl,New Crystal,Artery,Norm,Duplex,1Story,4,4,1959,1916,Hip,Metal,CemntBd,BrkFace,CBlock,349,TA,Gd,CBlock,TA,Fa,Mn,ALQ,772,BLQ,331,1410,418,Grav,Fa,N,FuseP,858,1473,122,1195,2,0,0,0,4,1,Ex,4,Sev,2,TA,Basment,1909,RFn,3,115,Fa,Fa,Y,24,92,450,110,39,347,Gd,GdWo,Shed,3422,11,2011,COD,Normal
276,120,RH,87,19015,Pave,nan,IR2,Bnk,AllPub,Inside,Mod,New Dorishaven,PosN,PosN,1Fam,1.5Fin,5,9,1908,1996,Flat,Tar&Grv,MetalSd,CemntBd,None,399,Gd,Gd,PConc,Fa,Gd,Mn,No,831,LwQ,62,261,940,Wall,Ex,Y,SBrkr,1081,123,165,3559,0,0,1,0,1,1,Fa,9,Min2,0,Gd,Basment,1919,Unf,1,191,No,Gd,N,82,429,165,142,127,225,TA,GdWo,Othr,4541,11,2013,WD,Partial
277,120,RH,33,17458,Grvl,nan,IR1,Bnk,AllPub,Inside,Mod,Mcdonaldshire,Artery,Norm,Duplex,SLvl,6,4,1967,1912,Gable,Metal,MetalSd,CemntBd,BrkFace,349,Gd,Gd,BrkTil,No,Gd,No,LwQ,1304,No,1255,240,1584,GasW,TA,Y,FuseA,421,1247,80,3065,1,0,0,1,2,1,Ex,5,Sal,2,Fa,No,2018,Unf,2,509,Gd,Gd,N,138,348,286,57,77,39,Fa,MnWw,Gar2,2452,1,2014,COD,Alloca
278,120,FV,68,5549,Pave,Grvl,IR3,Lvl,AllPub,CulDSac,Sev,Kimburgh,Feedr,Norm,Duplex,1Story,5,9,1905,1976,Hip,CompShg,MetalSd,HdBoard,None,11,Fa,Ex,BrkTil,No,Gd,Mn,ALQ,741,ALQ,536,984,555,Wall,Gd,Y,FuseA,681,616,84,2038,2,0,3,0,4,1,Fa,6,Typ,2,Ex,Detchd,1976,RFn,2,43,Fa,Ex,P,431,168,298,17,170,287,TA,nan,Othr,632,8,2013,Con,Partial
279,30,RM,92,9671,Grvl,nan,IR1,Low,AllPub,Inside,Sev,Benjaminmouth,Norm,Artery,2FmCon,SLvl,4,2,1960,1972,Mansard,Metal,MetalSd,CemntBd,None,211,Fa,TA,Slab,Ex,Fa,Gd,LwQ,188,Rec,1493,239,1440,Grav,TA,N,SBrkr,1755,804,94,2170,1,0,2,0,3,1,TA,10,Sev,1,Ex,Basment,1918,Unf,3,39,No,TA,N,16,313,347,151,122,722,Gd,GdWo,Shed,3685,11,2011,WD,AdjLand
280,160,RM,32,15680,Grvl,nan,Reg,Bnk,AllPub,Corner,Gtl,Melissachester,Feedr,Artery,TwnhsE,1.5Fin,1,1,1938,1918,Hip,CompShg,HdBoard,BrkFace,None,189,Fa,TA,CBlock,Gd,TA,Mn,ALQ,128,Unf,960,128,2112,Wall,Ex,N,FuseF,1203,979,10,608,1,0,1,1,1,1,Ex,11,Sal,0,Ex,Attchd,1957,RFn,1,985,No,Fa,P,282,67,88,36,49,91,Gd,GdPrv,Shed,882,12,2016,Con,Family
281,60,RL,56,6308,Grvl,Grvl,IR1,Bnk,AllPub,Inside,Gtl,Taylorhaven,Norm,Norm,TwnhsE,SLvl,3,3,1952,1955,Hip,Metal,VinylSd,MetalSd,None,47,TA,Gd,BrkTil,Gd,Gd,Gd,Rec,72,BLQ,413,1134,2353,Wall,TA,Y,FuseF,1690,147,106,1111,2,0,3,0,3,1,Ex,9,Mod,2,Ex,2Types,1970,RFn,0,518,TA,Gd,N,253,387,394,61,11,45,Gd,GdPrv,nan,774,8,2018,ConLw,Family
282,40,RL,74,15883,Grvl,Grvl,IR2,Low,AllPub,Inside,Mod,Johnhaven,Artery,PosN,2FmCon,SLvl,7,5,1983,2016,Flat,CompShg,CemntBd,CemntBd,None,77,Gd,Ex,BrkTil,Fa,No,No,No,411,ALQ,443,555,2946,Grav,Gd,N,FuseP,1687,32,10,3427,2,1,3,0,1,1,TA,4,Sev,1,Ex,2Types,1947,RFn,1,844,TA,Fa,N,12,314,144,82,101,28,Fa,MnWw,nan,4273,6,2015,Con,Alloca
283,30,RM,90,18206,Pave,Pave,Reg,Bnk,AllPub,Corner,Gtl,Bradleyhaven,Norm,PosN,TwnhsE,SLvl,3,6,1994,1909,Mansard,Metal,BrkFace,CemntBd,None,77,Gd,Gd,CBlock,TA,Gd,No,Rec,300,LwQ,1320,246,2077,GasW,TA,Y,FuseF,978,593,57,3871,1,1,3,0,1,1,Fa,5,Min1,0,Ex,2Types,1963,Unf,1,515,Ex,Fa,N,14,139,81,157,47,342,Ex,GdPrv,Gar2,3781,2,2017,Con,Alloca
284,20,RL,75,9484,Grvl,nan,IR2,HLS,AllPub,CulDSac,Mod,North Matthew,Feedr,Feedr,2FmCon,1.5Fin,1,6,1927,1943,Gable,Tar&Grv,BrkFace,BrkFace,BrkFace,376,Ex,Fa,Slab,Fa,No,Gd,Unf,25,BLQ,542,1135,778,GasW,TA,N,FuseA,1608,1108,19,2241,1,0,3,1,1,1,Gd,11,Min2,1,Ex,2Types,1963,Fin,0,877,Ex,No,P,345,165,391,66,33,21,Fa,GdPrv,Othr,2931,3,2015,New,Abnorml
